ground,year,score
MCG,1912,8
MCG,1912,10
MCG,1912,5
MCG,1920,64
MCG,1920,51
MCG,1920,0
MCG,1920,68
MCG,1920,39
MCG,1920,9
MCG,1920,116
MCG,1920,13
MCG,1920,100
MCG,1920,24
MCG,1920,8
MCG,1920,122
MCG,1920,7
MCG,1920,4
MCG,1920,67
MCG,1920,0
MCG,1920,5
MCG,1920,15
MCG,1920,4
MCG,1920,21
MCG,1920,5
MCG,1920,20
MCG,1920,28
MCG,1920,4
MCG,1920,1
MCG,1920,5
MCG,1920,50
MCG,1920,9
MCG,1920,24
MCG,1920,9
MCG,1920,0
MCG,1921,27
MCG,1921,11
MCG,1921,117
MCG,1921,30
MCG,1921,29
MCG,1921,50
MCG,1921,0
MCG,1921,3
MCG,1921,1
MCG,1921,10
MCG,1921,0
MCG,1921,59
MCG,1921,56
MCG,1921,7
MCG,1921,2
MCG,1921,77
MCG,1921,12
MCG,1921,123
MCG,1921,27
MCG,1921,0
MCG,1921,13
MCG,1921,0
MCG,1921,13
MCG,1921,73
MCG,1921,54
MCG,1921,32
MCG,1921,0
MCG,1921,60
MCG,1921,59
MCG,1921,6
MCG,1921,0
MCG,1921,4
MCG,1921,0
MCG,1921,32
MCG,1921,38
MCG,1921,52
MCG,1921,76
MCG,1925,9
MCG,1925,19
MCG,1925,14
MCG,1925,128
MCG,1925,72
MCG,1925,138
MCG,1925,32
MCG,1925,80
MCG,1925,44
MCG,1925,39
MCG,1925,1
MCG,1925,154
MCG,1925,176
MCG,1925,0
MCG,1925,9
MCG,1925,32
MCG,1925,28
MCG,1925,8
MCG,1925,5
MCG,1925,34
MCG,1925,17
MCG,1925,4
MCG,1925,30
MCG,1925,2
MCG,1925,9
MCG,1925,4
MCG,1925,90
MCG,1925,8
MCG,1925,17
MCG,1925,0
MCG,1925,36
MCG,1925,39
MCG,1925,3
MCG,1925,22
MCG,1925,127
MCG,1925,22
MCG,1925,23
MCG,1925,50
MCG,1925,18
MCG,1925,0
MCG,1925,14
MCG,1925,4
MCG,1925,0
MCG,1925,0
MCG,1925,66
MCG,1925,143
MCG,1925,44
MCG,1925,40
MCG,1925,65
MCG,1925,12
MCG,1925,76
MCG,1925,74
MCG,1925,0
MCG,1925,8
MCG,1925,7
MCG,1925,22
MCG,1925,19
MCG,1925,0
MCG,1925,24
MCG,1925,21
MCG,1925,86
MCG,1925,35
MCG,1925,1
MCG,1925,38
MCG,1925,3
MCG,1925,4
MCG,1925,1
MCG,1925,0
MCG,1925,45
MCG,1925,68
MCG,1925,38
MCG,1925,42
MCG,1925,3
MCG,1925,19
MCG,1925,3
MCG,1925,8
MCG,1925,8
MCG,1928,7
MCG,1928,3
MCG,1928,23
MCG,1928,100
MCG,1928,112
MCG,1928,79
MCG,1928,3
MCG,1928,41
MCG,1928,15
MCG,1928,5
MCG,1928,2
MCG,1928,20
MCG,1928,58
MCG,1928,200
MCG,1928,24
MCG,1928,19
MCG,1928,62
MCG,1928,0
MCG,1928,1
MCG,1928,21
MCG,1928,3
MCG,1928,8
MCG,1928,107
MCG,1928,5
MCG,1928,12
MCG,1928,41
MCG,1928,5
MCG,1928,112
MCG,1928,7
MCG,1928,6
MCG,1928,39
MCG,1928,4
MCG,1928,0
MCG,1928,49
MCG,1928,135
MCG,1928,33
MCG,1928,32
MCG,1928,45
MCG,1928,5
MCG,1928,0
MCG,1928,4
MCG,1928,0
MCG,1929,142
MCG,1929,19
MCG,1929,38
MCG,1929,31
MCG,1929,12
MCG,1929,95
MCG,1929,137
MCG,1929,4
MCG,1929,4
MCG,1929,15
MCG,1929,9
MCG,1929,102
MCG,1929,30
MCG,1929,38
MCG,1929,30
MCG,1929,123
MCG,1929,65
MCG,1929,7
MCG,1929,6
MCG,1929,38
MCG,1929,9
MCG,1929,26
MCG,1929,65
MCG,1929,0
MCG,1929,11
MCG,1929,16
MCG,1929,21
MCG,1929,1
MCG,1929,53
MCG,1929,54
MCG,1929,3
MCG,1929,4
MCG,1929,9
MCG,1929,48
MCG,1929,18
MCG,1929,35
MCG,1929,46
MCG,1929,28
MCG,1929,57
MCG,1929,37
MCG,1931,20
MCG,1931,17
MCG,1931,33
MCG,1931,0
MCG,1931,9
MCG,1931,0
MCG,1931,7
MCG,1931,0
MCG,1931,11
MCG,1931,0
MCG,1931,0
MCG,1931,83
MCG,1931,24
MCG,1931,152
MCG,1931,15
MCG,1931,2
MCG,1931,16
MCG,1931,24
MCG,1931,0
MCG,1931,1
MCG,1931,7
MCG,1931,10
MCG,1931,11
MCG,1931,13
MCG,1931,3
MCG,1931,10
MCG,1931,6
MCG,1931,13
MCG,1931,20
MCG,1931,4
MCG,1931,0
MCG,1931,7
MCG,1931,7
MCG,1931,2
MCG,1931,52
MCG,1931,22
MCG,1931,68
MCG,1931,6
MCG,1931,0
MCG,1931,9
MCG,1931,6
MCG,1931,12
MCG,1931,47
MCG,1931,17
MCG,1931,16
MCG,1931,11
MCG,1931,33
MCG,1931,39
MCG,1931,111
MCG,1931,16
MCG,1931,29
MCG,1931,11
MCG,1931,10
MCG,1931,161
MCG,1931,34
MCG,1931,167
MCG,1931,67
MCG,1931,71
MCG,1931,1
MCG,1931,4
MCG,1931,0
MCG,1931,16
MCG,1931,12
MCG,1931,0
MCG,1931,9
MCG,1931,46
MCG,1931,63
MCG,1931,38
MCG,1931,4
MCG,1931,13
MCG,1931,2
MCG,1931,34
MCG,1931,1
MCG,1931,0
MCG,1931,0
MCG,1932,2
MCG,1932,3
MCG,1932,4
MCG,1932,0
MCG,1932,1
MCG,1932,11
MCG,1932,1
MCG,1932,1
MCG,1932,0
MCG,1932,5
MCG,1932,0
MCG,1932,0
MCG,1932,40
MCG,1932,22
MCG,1932,42
MCG,1932,0
MCG,1932,13
MCG,1932,11
MCG,1932,9
MCG,1932,13
MCG,1932,0
MCG,1932,0
MCG,1932,16
MCG,1932,6
MCG,1932,4
MCG,1932,0
MCG,1932,0
MCG,1932,2
MCG,1932,0
MCG,1932,8
MCG,1932,0
MCG,1932,5
MCG,1932,83
